LayerType,LayerName,GFLOPs,GIOPs,MParams,LayerParams,InputBlobs,OutputBlobs
BatchNorm,model.6.cv1.bn,0.001638,0.000000,0.000256,[],f32(1x128x40x40),f32(1x128x40x40)
Swish,model.0.act_15,0.000000,0.000000,0.000000,[],f32(1x128x40x40),f32(1x128x40x40)
Convolution,model.6.m.0.cv1.conv,0.117965,0.000000,0.036864,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x64x40x40) f32(64x64x3x3),f32(1x64x40x40)
BatchNorm,model.6.m.0.cv1.bn,0.000819,0.000000,0.000128,[],f32(1x64x40x40),f32(1x64x40x40)
Swish,model.0.act_16,0.000000,0.000000,0.000000,[],f32(1x64x40x40),f32(1x64x40x40)
Convolution,model.6.m.0.cv2.conv,0.117965,0.000000,0.036864,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x64x40x40) f32(64x64x3x3),f32(1x64x40x40)
BatchNorm,model.6.m.0.cv2.bn,0.000819,0.000000,0.000128,[],f32(1x64x40x40),f32(1x64x40x40)
Swish,model.0.act_17,0.000000,0.000000,0.000000,[],f32(1x64x40x40),f32(1x64x40x40)
Convolution,model.6.m.1.cv1.conv,0.117965,0.000000,0.036864,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x64x40x40) f32(64x64x3x3),f32(1x64x40x40)
BatchNorm,model.6.m.1.cv1.bn,0.000819,0.000000,0.000128,[],f32(1x64x40x40),f32(1x64x40x40)
Swish,model.0.act_18,0.000000,0.000000,0.000000,[],f32(1x64x40x40),f32(1x64x40x40)
Convolution,model.6.m.1.cv2.conv,0.117965,0.000000,0.036864,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x64x40x40) f32(64x64x3x3),f32(1x64x40x40)
BatchNorm,model.6.m.1.cv2.bn,0.000819,0.000000,0.000128,[],f32(1x64x40x40),f32(1x64x40x40)
Swish,model.0.act_19,0.000000,0.000000,0.000000,[],f32(1x64x40x40),f32(1x64x40x40)
Convolution,model.6.cv2.conv,0.104858,0.000000,0.032768,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x256x40x40) f32(128x256x1x1),f32(1x128x40x40)
BatchNorm,model.6.cv2.bn,0.001638,0.000000,0.000256,[],f32(1x128x40x40),f32(1x128x40x40)
Swish,model.0.act_20,0.000000,0.000000,0.000000,[],f32(1x128x40x40),f32(1x128x40x40)
Convolution,model.7.conv,0.235930,0.000000,0.294912,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (2xs2)],f32(1x128x40x40) f32(256x128x3x3),f32(1x256x20x20)
BatchNorm,model.7.bn,0.000819,0.000000,0.000512,[],f32(1x256x20x20),f32(1x256x20x20)
Swish,model.0.act_21,0.000000,0.000000,0.000000,[],f32(1x256x20x20),f32(1x256x20x20)
Convolution,model.8.cv1.conv,0.052429,0.000000,0.065536,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x256x20x20) f32(256x256x1x1),f32(1x256x20x20)
BatchNorm,model.8.cv1.bn,0.000819,0.000000,0.000512,[],f32(1x256x20x20),f32(1x256x20x20)
Swish,model.0.act_22,0.000000,0.000000,0.000000,[],f32(1x256x20x20),f32(1x256x20x20)
