LayerType,LayerName,GFLOPs,GIOPs,MParams,LayerParams,InputBlobs,OutputBlobs
Convolution,Multiply_6387,0.2055,0.0000,0.0328,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x256x56x56) f32(128x256x1x1),f32(1x128x56x56)
Add,689,0.0004,0.0000,0.0001,[auto_broadcast: numpy],f32(1x128x56x56) f32(1x128x1x1),f32(1x128x56x56)
Multiply,Multiply_6731,0.0001,0.0000,0.0001,[auto_broadcast: numpy],f32(128x128x3x3) f32(128x1x1x1),f32(128x128x3x3)
Convolution,Multiply_6394,0.2312,0.0000,0.1475,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (2xs2)],f32(1x128x56x56) f32(128x128x3x3),f32(1x128x28x28)
Add,698,0.0001,0.0000,0.0001,[auto_broadcast: numpy],f32(1x128x28x28) f32(1x128x1x1),f32(1x128x28x28)
Multiply,Multiply_6735,0.0001,0.0000,0.0005,[auto_broadcast: numpy],f32(512x128x1x1) f32(512x1x1x1),f32(512x128x1x1)
Convolution,Multiply_6401,0.1028,0.0000,0.0655,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x128x28x28) f32(512x128x1x1),f32(1x512x28x28)
Add,707,0.0004,0.0000,0.0005,[auto_broadcast: numpy],f32(1x512x28x28) f32(1x512x1x1),f32(1x512x28x28)
Multiply,Multiply_6739,0.0001,0.0000,0.0005,[auto_broadcast: numpy],f32(512x256x1x1) f32(512x1x1x1),f32(512x256x1x1)
Convolution,Multiply_6408,0.2055,0.0000,0.1311,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (2xs2)],f32(1x256x56x56) f32(512x256x1x1),f32(1x512x28x28)
Add,715,0.0004,0.0000,0.0005,[auto_broadcast: numpy],f32(1x512x28x28) f32(1x512x1x1),f32(1x512x28x28)
Multiply,Multiply_6743,0.0001,0.0000,0.0001,[auto_broadcast: numpy],f32(128x512x1x1) f32(128x1x1x1),f32(128x512x1x1)
Convolution,Multiply_6415,0.1028,0.0000,0.0655,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x512x28x28) f32(128x512x1x1),f32(1x128x28x28)
Add,728,0.0001,0.0000,0.0001,[auto_broadcast: numpy],f32(1x128x28x28) f32(1x128x1x1),f32(1x128x28x28)
Multiply,Multiply_6747,0.0001,0.0000,0.0001,[auto_broadcast: numpy],f32(128x128x3x3) f32(128x1x1x1),f32(128x128x3x3)
Convolution,Multiply_6422,0.2312,0.0000,0.1475,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x128x28x28) f32(128x128x3x3),f32(1x128x28x28)
Add,737,0.0001,0.0000,0.0001,[auto_broadcast: numpy],f32(1x128x28x28) f32(1x128x1x1),f32(1x128x28x28)
Multiply,Multiply_6751,0.0001,0.0000,0.0005,[auto_broadcast: numpy],f32(512x128x1x1) f32(512x1x1x1),f32(512x128x1x1)
Convolution,Multiply_6429,0.1028,0.0000,0.0655,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x128x28x28) f32(512x128x1x1),f32(1x512x28x28)
Add,746,0.0004,0.0000,0.0005,[auto_broadcast: numpy],f32(1x512x28x28) f32(1x512x1x1),f32(1x512x28x28)
Multiply,Multiply_6755,0.0001,0.0000,0.0001,[auto_broadcast: numpy],f32(128x512x1x1) f32(128x1x1x1),f32(128x512x1x1)
Convolution,Multiply_6436,0.1028,0.0000,0.0655,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x512x28x28) f32(128x512x1x1),f32(1x128x28x28)
Add,759,0.0001,0.0000,0.0001,[auto_broadcast: numpy],f32(1x128x28x28) f32(1x128x1x1),f32(1x128x28x28)
Multiply,Multiply_6759,0.0001,0.0000,0.0001,[auto_broadcast: numpy],f32(128x128x3x3) f32(128x1x1x1),f32(128x128x3x3)
Convolution,Multiply_6443,0.2312,0.0000,0.1475,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x128x28x28) f32(128x128x3x3),f32(1x128x28x28)
Add,768,0.0001,0.0000,0.0001,[auto_broadcast: numpy],f32(1x128x28x28) f32(1x128x1x1),f32(1x128x28x28)
Multiply,Multiply_6763,0.0001,0.0000,0.0005,[auto_broadcast: numpy],f32(512x128x1x1) f32(512x1x1x1),f32(512x128x1x1)
Convolution,Multiply_6450,0.1028,0.0000,0.0655,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x128x28x28) f32(512x128x1x1),f32(1x512x28x28)
Add,777,0.0004,0.0000,0.0005,[auto_broadcast: numpy],f32(1x512x28x28) f32(1x512x1x1),f32(1x512x28x28)
Multiply,Multiply_6767,0.0001,0.0000,0.0001,[auto_broadcast: numpy],f32(128x512x1x1) f32(128x1x1x1),f32(128x512x1x1)
Convolution,Multiply_6457,0.1028,0.0000,0.0655,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x512x28x28) f32(128x512x1x1),f32(1x128x28x28)
Add,790,0.0001,0.0000,0.0001,[auto_broadcast: numpy],f32(1x128x28x28) f32(1x128x1x1),f32(1x128x28x28)
Multiply,Multiply_6771,0.0001,0.0000,0.0001,[auto_broadcast: numpy],f32(128x128x3x3) f32(128x1x1x1),f32(128x128x3x3)
Convolution,Multiply_6464,0.2312,0.0000,0.1475,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x128x28x28) f32(128x128x3x3),f32(1x128x28x28)
Add,799,0.0001,0.0000,0.0001,[auto_broadcast: numpy],f32(1x128x28x28) f32(1x128x1x1),f32(1x128x28x28)
Multiply,Multiply_6775,0.0001,0.0000,0.0005,[auto_broadcast: numpy],f32(512x128x1x1) f32(512x1x1x1),f32(512x128x1x1)
Convolution,Multiply_6471,0.1028,0.0000,0.0655,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x128x28x28) f32(512x128x1x1),f32(1x512x28x28)
Add,808,0.0004,0.0000,0.0005,[auto_broadcast: numpy],f32(1x512x28x28) f32(1x512x1x1),f32(1x512x28x28)
Multiply,Multiply_6779,0.0001,0.0000,0.0003,[auto_broadcast: numpy],f32(256x512x1x1) f32(256x1x1x1),f32(256x512x1x1)
Convolution,Multiply_6478,0.2055,0.0000,0.1311,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x512x28x28) f32(256x512x1x1),f32(1x256x28x28)
Add,821,0.0002,0.0000,0.0003,[auto_broadcast: numpy],f32(1x256x28x28) f32(1x256x1x1),f32(1x256x28x28)
Multiply,Multiply_6783,0.0006,0.0000,0.0003,[auto_broadcast: numpy],f32(256x256x3x3) f32(256x1x1x1),f32(256x256x3x3)
Convolution,Multiply_6485,0.2312,0.0000,0.5898,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (2xs2)],f32(1x256x28x28) f32(256x256x3x3),f32(1x256x14x14)
Add,830,0.0001,0.0000,0.0003,[auto_broadcast: numpy],f32(1x256x14x14) f32(1x256x1x1),f32(1x256x14x14)
Multiply,Multiply_6787,0.0003,0.0000,0.0010,[auto_broadcast: numpy],f32(1024x256x1x1) f32(1024x1x1x1),f32(1024x256x1x1)
Convolution,Multiply_6492,0.1028,0.0000,0.2621,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x256x14x14) f32(1024x256x1x1),f32(1x1024x14x14)
Add,839,0.0002,0.0000,0.0010,[auto_broadcast: numpy],f32(1x1024x14x14) f32(1x1024x1x1),f32(1x1024x14x14)
Multiply,Multiply_6791,0.0005,0.0000,0.0010,[auto_broadcast: numpy],f32(1024x512x1x1) f32(1024x1x1x1),f32(1024x512x1x1)
