LayerType,LayerName,GFLOPs,GIOPs,MParams,LayerParams,InputBlobs,OutputBlobs
Convolution,model.4.m.3.cv1.conv,7.5497,0.0000,0.2304,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x160x128x128) f32(160x160x3x3),f32(1x160x128x128)
Swish,model.0.act_19,0.0026,0.0000,0.0000,[],f32(1x160x128x128),f32(1x160x128x128)
Convolution,model.4.m.3.cv2.conv,7.5497,0.0000,0.2304,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x160x128x128) f32(160x160x3x3),f32(1x160x128x128)
Swish,model.0.act_20,0.0026,0.0000,0.0000,[],f32(1x160x128x128),f32(1x160x128x128)
Convolution,model.4.m.4.cv1.conv,7.5497,0.0000,0.2304,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x160x128x128) f32(160x160x3x3),f32(1x160x128x128)
Swish,model.0.act_21,0.0026,0.0000,0.0000,[],f32(1x160x128x128),f32(1x160x128x128)
Convolution,model.4.m.4.cv2.conv,7.5497,0.0000,0.2304,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x160x128x128) f32(160x160x3x3),f32(1x160x128x128)
Swish,model.0.act_22,0.0026,0.0000,0.0000,[],f32(1x160x128x128),f32(1x160x128x128)
Convolution,model.4.m.5.cv1.conv,7.5497,0.0000,0.2304,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x160x128x128) f32(160x160x3x3),f32(1x160x128x128)
Swish,model.0.act_23,0.0026,0.0000,0.0000,[],f32(1x160x128x128),f32(1x160x128x128)
Convolution,model.4.m.5.cv2.conv,7.5497,0.0000,0.2304,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x160x128x128) f32(160x160x3x3),f32(1x160x128x128)
Swish,model.0.act_24,0.0026,0.0000,0.0000,[],f32(1x160x128x128),f32(1x160x128x128)
Convolution,model.4.cv2.conv,13.4218,0.0000,0.4096,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x1280x128x128) f32(320x1280x1x1),f32(1x320x128x128)
Swish,model.0.act_25,0.0052,0.0000,0.0000,[],f32(1x320x128x128),f32(1x320x128x128)
Convolution,model.5.conv,15.0995,0.0000,1.8432,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (2xs2)],f32(1x320x128x128) f32(640x320x3x3),f32(1x640x64x64)
Swish,model.0.act_26,0.0026,0.0000,0.0000,[],f32(1x640x64x64),f32(1x640x64x64)
Convolution,model.6.cv1.conv,3.3554,0.0000,0.4096,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x640x64x64) f32(640x640x1x1),f32(1x640x64x64)
Swish,model.0.act_27,0.0026,0.0000,0.0000,[],f32(1x640x64x64),f32(1x640x64x64)
Convolution,model.6.m.0.cv1.conv,7.5497,0.0000,0.9216,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x320x64x64) f32(320x320x3x3),f32(1x320x64x64)
Swish,model.0.act_28,0.0013,0.0000,0.0000,[],f32(1x320x64x64),f32(1x320x64x64)
Convolution,model.6.m.0.cv2.conv,7.5497,0.0000,0.9216,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x320x64x64) f32(320x320x3x3),f32(1x320x64x64)
