LayerType,LayerName,GFLOPs,GIOPs,MParams,LayerParams,InputBlobs,OutputBlobs
Convolution,model.23.cv3.1.2,0.0205,0.0000,0.0065,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x80x40x40) f32(80x80x1x1),f32(1x80x40x40)
GroupConvolution,model.23.cv3.2.0.0.conv,0.0018,0.0000,0.0023,[auto_pad: explicit; dilations: (1xs1); group: 256; pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x256x20x20) f32(256x1x3x3),f32(1x256x20x20)
Swish,model.0.act_74,0.0001,0.0000,0.0000,[],f32(1x256x20x20),f32(1x256x20x20)
Convolution,model.23.cv3.2.0.1.conv,0.0164,0.0000,0.0205,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x256x20x20) f32(80x256x1x1),f32(1x80x20x20)
Swish,model.0.act_75,0.0000,0.0000,0.0000,[],f32(1x80x20x20),f32(1x80x20x20)
GroupConvolution,model.23.cv3.2.1.0.conv,0.0006,0.0000,0.0007,[auto_pad: explicit; dilations: (1xs1); group: 80; pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x80x20x20) f32(80x1x3x3),f32(1x80x20x20)
Swish,model.0.act_76,0.0000,0.0000,0.0000,[],f32(1x80x20x20),f32(1x80x20x20)
Convolution,model.23.cv3.2.1.1.conv,0.0051,0.0000,0.0064,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x80x20x20) f32(80x80x1x1),f32(1x80x20x20)
Swish,model.0.act_77,0.0000,0.0000,0.0000,[],f32(1x80x20x20),f32(1x80x20x20)
Convolution,model.23.cv3.2.2,0.0051,0.0000,0.0065,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x80x20x20) f32(80x80x1x1),f32(1x80x20x20)
Convolution,model.23.dfl.conv,0.0011,0.0000,0.0000,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x16x4x8400) f32(1x16x1x1),f32(1x1x4x8400)
