LayerType,LayerName,GFLOPs,GIOPs,MParams,LayerParams,InputBlobs,OutputBlobs
BatchNorm,layer2.0.bn3,0.003211,0.000000,0.001024,[],f32(1x512x28x28),f32(1x512x28x28)
Convolution,layer2.0.downsample.0,0.205521,0.000000,0.131072,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (2xs2)],f32(1x256x56x56) f32(512x256x1x1),f32(1x512x28x28)
BatchNorm,layer2.0.downsample.1,0.003211,0.000000,0.001024,[],f32(1x512x28x28),f32(1x512x28x28)
ReLU,layer2.0.relu_3,0.000000,0.000000,0.000000,[],f32(1x512x28x28),f32(1x512x28x28)
Convolution,layer2.1.conv1,0.102760,0.000000,0.065536,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x512x28x28) f32(128x512x1x1),f32(1x128x28x28)
BatchNorm,layer2.1.bn1,0.000803,0.000000,0.000256,[],f32(1x128x28x28),f32(1x128x28x28)
ReLU,layer2.1.relu_1,0.000000,0.000000,0.000000,[],f32(1x128x28x28),f32(1x128x28x28)
Convolution,layer2.1.conv2,0.231211,0.000000,0.147456,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x128x28x28) f32(128x128x3x3),f32(1x128x28x28)
BatchNorm,layer2.1.bn2,0.000803,0.000000,0.000256,[],f32(1x128x28x28),f32(1x128x28x28)
ReLU,layer2.1.relu_2,0.000000,0.000000,0.000000,[],f32(1x128x28x28),f32(1x128x28x28)
Convolution,layer2.1.conv3,0.102760,0.000000,0.065536,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x128x28x28) f32(512x128x1x1),f32(1x512x28x28)
BatchNorm,layer2.1.bn3,0.003211,0.000000,0.001024,[],f32(1x512x28x28),f32(1x512x28x28)
ReLU,layer2.1.relu_3,0.000000,0.000000,0.000000,[],f32(1x512x28x28),f32(1x512x28x28)
Convolution,layer2.2.conv1,0.102760,0.000000,0.065536,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x512x28x28) f32(128x512x1x1),f32(1x128x28x28)
BatchNorm,layer2.2.bn1,0.000803,0.000000,0.000256,[],f32(1x128x28x28),f32(1x128x28x28)
ReLU,layer2.2.relu_1,0.000000,0.000000,0.000000,[],f32(1x128x28x28),f32(1x128x28x28)
Convolution,layer2.2.conv2,0.231211,0.000000,0.147456,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x128x28x28) f32(128x128x3x3),f32(1x128x28x28)
BatchNorm,layer2.2.bn2,0.000803,0.000000,0.000256,[],f32(1x128x28x28),f32(1x128x28x28)
ReLU,layer2.2.relu_2,0.000000,0.000000,0.000000,[],f32(1x128x28x28),f32(1x128x28x28)
Convolution,layer2.2.conv3,0.102760,0.000000,0.065536,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x128x28x28) f32(512x128x1x1),f32(1x512x28x28)
BatchNorm,layer2.2.bn3,0.003211,0.000000,0.001024,[],f32(1x512x28x28),f32(1x512x28x28)
ReLU,layer2.2.relu_3,0.000000,0.000000,0.000000,[],f32(1x512x28x28),f32(1x512x28x28)
Convolution,layer2.3.conv1,0.102760,0.000000,0.065536,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x512x28x28) f32(128x512x1x1),f32(1x128x28x28)
BatchNorm,layer2.3.bn1,0.000803,0.000000,0.000256,[],f32(1x128x28x28),f32(1x128x28x28)
ReLU,layer2.3.relu_1,0.000000,0.000000,0.000000,[],f32(1x128x28x28),f32(1x128x28x28)
Convolution,layer2.3.conv2,0.231211,0.000000,0.147456,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x128x28x28) f32(128x128x3x3),f32(1x128x28x28)
BatchNorm,layer2.3.bn2,0.000803,0.000000,0.000256,[],f32(1x128x28x28),f32(1x128x28x28)
ReLU,layer2.3.relu_2,0.000000,0.000000,0.000000,[],f32(1x128x28x28),f32(1x128x28x28)
Convolution,layer2.3.conv3,0.102760,0.000000,0.065536,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x128x28x28) f32(512x128x1x1),f32(1x512x28x28)
BatchNorm,layer2.3.bn3,0.003211,0.000000,0.001024,[],f32(1x512x28x28),f32(1x512x28x28)
ReLU,layer2.3.relu_3,0.000000,0.000000,0.000000,[],f32(1x512x28x28),f32(1x512x28x28)
Convolution,layer3.0.conv1,0.205521,0.000000,0.131072,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x512x28x28) f32(256x512x1x1),f32(1x256x28x28)
BatchNorm,layer3.0.bn1,0.001606,0.000000,0.000512,[],f32(1x256x28x28),f32(1x256x28x28)
ReLU,layer3.0.relu_1,0.000000,0.000000,0.000000,[],f32(1x256x28x28),f32(1x256x28x28)
Convolution,layer3.0.conv2,0.231211,0.000000,0.589824,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (2xs2)],f32(1x256x28x28) f32(256x256x3x3),f32(1x256x14x14)
BatchNorm,layer3.0.bn2,0.000401,0.000000,0.000512,[],f32(1x256x14x14),f32(1x256x14x14)
ReLU,layer3.0.relu_2,0.000000,0.000000,0.000000,[],f32(1x256x14x14),f32(1x256x14x14)
Convolution,layer3.0.conv3,0.102760,0.000000,0.262144,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x256x14x14) f32(1024x256x1x1),f32(1x1024x14x14)
BatchNorm,layer3.0.bn3,0.001606,0.000000,0.002048,[],f32(1x1024x14x14),f32(1x1024x14x14)
Convolution,layer3.0.downsample.0,0.205521,0.000000,0.524288,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (2xs2)],f32(1x512x28x28) f32(1024x512x1x1),f32(1x1024x14x14)
BatchNorm,layer3.0.downsample.1,0.001606,0.000000,0.002048,[],f32(1x1024x14x14),f32(1x1024x14x14)
ReLU,layer3.0.relu_3,0.000000,0.000000,0.000000,[],f32(1x1024x14x14),f32(1x1024x14x14)
Convolution,layer3.1.conv1,0.102760,0.000000,0.262144,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x1024x14x14) f32(256x1024x1x1),f32(1x256x14x14)
BatchNorm,layer3.1.bn1,0.000401,0.000000,0.000512,[],f32(1x256x14x14),f32(1x256x14x14)
ReLU,layer3.1.relu_1,0.000000,0.000000,0.000000,[],f32(1x256x14x14),f32(1x256x14x14)
Convolution,layer3.1.conv2,0.231211,0.000000,0.589824,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x256x14x14) f32(256x256x3x3),f32(1x256x14x14)
BatchNorm,layer3.1.bn2,0.000401,0.000000,0.000512,[],f32(1x256x14x14),f32(1x256x14x14)
ReLU,layer3.1.relu_2,0.000000,0.000000,0.000000,[],f32(1x256x14x14),f32(1x256x14x14)
Convolution,layer3.1.conv3,0.102760,0.000000,0.262144,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x256x14x14) f32(1024x256x1x1),f32(1x1024x14x14)
BatchNorm,layer3.1.bn3,0.001606,0.000000,0.002048,[],f32(1x1024x14x14),f32(1x1024x14x14)
ReLU,layer3.1.relu_3,0.000000,0.000000,0.000000,[],f32(1x1024x14x14),f32(1x1024x14x14)
Convolution,layer3.2.conv1,0.102760,0.000000,0.262144,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x1024x14x14) f32(256x1024x1x1),f32(1x256x14x14)
BatchNorm,layer3.2.bn1,0.000401,0.000000,0.000512,[],f32(1x256x14x14),f32(1x256x14x14)
ReLU,layer3.2.relu_1,0.000000,0.000000,0.000000,[],f32(1x256x14x14),f32(1x256x14x14)
Convolution,layer3.2.conv2,0.231211,0.000000,0.589824,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x256x14x14) f32(256x256x3x3),f32(1x256x14x14)
BatchNorm,layer3.2.bn2,0.000401,0.000000,0.000512,[],f32(1x256x14x14),f32(1x256x14x14)
ReLU,layer3.2.relu_2,0.000000,0.000000,0.000000,[],f32(1x256x14x14),f32(1x256x14x14)
Convolution,layer3.2.conv3,0.102760,0.000000,0.262144,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x256x14x14) f32(1024x256x1x1),f32(1x1024x14x14)
BatchNorm,layer3.2.bn3,0.001606,0.000000,0.002048,[],f32(1x1024x14x14),f32(1x1024x14x14)
ReLU,layer3.2.relu_3,0.000000,0.000000,0.000000,[],f32(1x1024x14x14),f32(1x1024x14x14)
Convolution,layer3.3.conv1,0.102760,0.000000,0.262144,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x1024x14x14) f32(256x1024x1x1),f32(1x256x14x14)
BatchNorm,layer3.3.bn1,0.000401,0.000000,0.000512,[],f32(1x256x14x14),f32(1x256x14x14)
ReLU,layer3.3.relu_1,0.000000,0.000000,0.000000,[],f32(1x256x14x14),f32(1x256x14x14)
Convolution,layer3.3.conv2,0.231211,0.000000,0.589824,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x256x14x14) f32(256x256x3x3),f32(1x256x14x14)
BatchNorm,layer3.3.bn2,0.000401,0.000000,0.000512,[],f32(1x256x14x14),f32(1x256x14x14)
ReLU,layer3.3.relu_2,0.000000,0.000000,0.000000,[],f32(1x256x14x14),f32(1x256x14x14)
Convolution,layer3.3.conv3,0.102760,0.000000,0.262144,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x256x14x14) f32(1024x256x1x1),f32(1x1024x14x14)
BatchNorm,layer3.3.bn3,0.001606,0.000000,0.002048,[],f32(1x1024x14x14),f32(1x1024x14x14)
ReLU,layer3.3.relu_3,0.000000,0.000000,0.000000,[],f32(1x1024x14x14),f32(1x1024x14x14)
Convolution,layer3.4.conv1,0.102760,0.000000,0.262144,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x1024x14x14) f32(256x1024x1x1),f32(1x256x14x14)
BatchNorm,layer3.4.bn1,0.000401,0.000000,0.000512,[],f32(1x256x14x14),f32(1x256x14x14)
ReLU,layer3.4.relu_1,0.000000,0.000000,0.000000,[],f32(1x256x14x14),f32(1x256x14x14)
Convolution,layer3.4.conv2,0.231211,0.000000,0.589824,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x256x14x14) f32(256x256x3x3),f32(1x256x14x14)
BatchNorm,layer3.4.bn2,0.000401,0.000000,0.000512,[],f32(1x256x14x14),f32(1x256x14x14)
ReLU,layer3.4.relu_2,0.000000,0.000000,0.000000,[],f32(1x256x14x14),f32(1x256x14x14)
Convolution,layer3.4.conv3,0.102760,0.000000,0.262144,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x256x14x14) f32(1024x256x1x1),f32(1x1024x14x14)
BatchNorm,layer3.4.bn3,0.001606,0.000000,0.002048,[],f32(1x1024x14x14),f32(1x1024x14x14)
ReLU,layer3.4.relu_3,0.000000,0.000000,0.000000,[],f32(1x1024x14x14),f32(1x1024x14x14)
Convolution,layer3.5.conv1,0.102760,0.000000,0.262144,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x1024x14x14) f32(256x1024x1x1),f32(1x256x14x14)
BatchNorm,layer3.5.bn1,0.000401,0.000000,0.000512,[],f32(1x256x14x14),f32(1x256x14x14)
